person_age,person_gender,person_education,person_income,person_emp_exp,person_home_ownership,loan_amnt,loan_intent,loan_int_rate,loan_percent_income,cb_person_cred_hist_length,credit_score,previous_loan_defaults_on_file,loan_status
22,0,4,0.008890599249301313,0,3,0.9999999999999999,4,16.02,0.49,3.0,561,0,1
21,0,3,0.0005953203538110374,0,2,0.014492753623188404,1,11.14,0.08,2.0,504,1,0
25,0,3,0.0006170088113529621,3,0,0.14492753623188404,3,12.87,0.44,3.0,635,0,1
23,0,1,0.009975717269267484,0,3,0.9999999999999999,3,15.23,0.44,2.0,675,0,1
24,1,4,0.008082426148716642,1,3,0.9999999999999999,3,14.27,0.53,4.0,586,0,1
21,0,3,0.0006883304698081377,0,2,0.05797101449275363,5,7.14,0.19,2.0,532,0,1
26,0,1,0.011882911247216996,1,3,0.9999999999999999,1,12.42,0.37,3.0,701,0,1
24,0,3,0.01217195165253534,5,3,0.9999999999999999,3,11.11,0.37,4.0,585,0,1
24,0,0,0.012885724351383044,3,3,0.9999999999999999,4,8.9,0.35,2.0,544,0,1
21,0,3,0.0006588564121229579,0,2,0.0318840579710145,5,14.74,0.13,3.0,640,0,1
22,0,3,0.013205629100126433,0,3,0.9999999999999999,5,10.37,0.34,4.0,621,0,1
21,0,0,0.0007108530987939828,0,2,0.11594202898550725,2,8.63,0.34,2.0,651,0,1
23,1,1,0.014856593416218462,3,3,0.9999999999999999,5,7.9,0.3,2.0,573,0,1
26,1,4,0.01706061339962957,0,3,0.9999999999999999,1,18.39,0.27,4.0,708,0,1
23,0,0,0.01821246513510936,0,3,0.9999999999999999,1,7.9,0.25,4.0,583,0,0
23,0,4,0.08242879025954689,5,0,0.855072463768116,0,10.65,0.05,3.0,670,1,0
23,1,1,0.019038990007460274,0,3,0.9999999999999999,1,7.9,0.24,4.0,663,0,0
23,0,3,0.014371244664430903,0,3,0.9999999999999999,3,20.0,0.31,4.0,694,0,1
23,1,1,0.017882967414760885,0,3,0.9999999999999999,0,18.25,0.26,4.0,709,0,1
24,0,4,0.0008735165303584184,1,0,0.03623188405797101,1,10.99,0.12,2.0,679,0,1
25,1,1,0.026098165851634825,0,3,0.9999999999999999,5,7.49,0.18,4.0,684,1,0
